Title,Genre,Premiere
The Pale Blue Eye,Historical thriller drama,"January 6, 2023"
Noise,Drama,"January 11, 2023"
Dog Gone,Family drama,"January 13, 2023"
Disconnect: The Wedding Planner,Romantic comedy,"January 13, 2023"
Alkhallat+,Satirical thriller,"January 19, 2023"
Jung E,Sci-fi action / adventure,"January 20, 2023"
Mission Majnu,Spy thriller,"January 20, 2023"
The Price of Family,Comedy,"January 25, 2023"
You People,Comedy,"January 27, 2023"
True Spirit,Biopic,"February 3, 2023"
Infiesto,Thriller,"February 3, 2023"
Dear David,Coming-of-age romantic drama,"February 9, 2023"
Your Place or Mine,Romantic comedy,"February 10, 2023"
Squared Love All Over Again,Romantic comedy,"February 13, 2023"
All the Places,Comedy-drama,"February 14, 2023"
Unlocked,Thriller,"February 17, 2023"
The Strays,Drama,"February 22, 2023"
Call Me Chihiro,Drama,"February 23, 2023"
We Have a Ghost,Family adventure,"February 24, 2023"
Tonight You're Sleeping with Me,Romantic drama,"March 1, 2023"
10 Days of a Good Man,Drama,"March 3, 2023"
Love at First Kiss,Romantic comedy,"March 3, 2023"
Faraway,Romantic comedy,"March 8, 2023"
Have a Nice Day!,Comedy,"March 10, 2023"
Luther: The Fallen Sun,Crime drama,"March 10, 2023"
In His Shadow,Drama,"March 17, 2023"
Noise,Thriller,"March 17, 2023"
The Magician's Elephant,Animation,"March 17, 2023"
Chor Nikal Ke Bhaga,Heist thriller,"March 24, 2023"
Kill Boksoon,Crime thriller,"March 31, 2023"
Murder Mystery 2,Mystery comedy,"March 31, 2023"
Chupa,Fantasy adventure,"April 7, 2023"
Kings of Mulberry Street: Let Love Reign,Comedy,"April 7, 2023"
Oh Belinda,Drama,"April 7, 2023"
Hunger,Thriller drama,"April 8, 2023"
Queens on the Run,Comedy,"April 14, 2023"
Phenomena,Comedy,"April 14, 2023"
A Tourist's Guide to Love,Romantic comedy,"April 21, 2023"
Chokehold,Thriller,"April 21, 2023"
One More Time,Comedy,"April 21, 2023"
"Kiss, Kiss!",Romantic comedy,"April 26, 2023"
The Matchmaker,Psychological thriller,"April 27, 2023"
AKA,Action thriller,"April 28, 2023"
Royalteen: Princess Margrethe,Coming-of-age,"May 11, 2023"
The Mother,Action drama,"May 12, 2023"
Fanfic,Drama,"May 17, 2023"
Kathal – A Jackfruit Mystery,Dark crime dramedy,"May 19, 2023"
Hard Feelings,Comedy,"May 24, 2023"
Mother's Day,Action,"May 24, 2023"
Blood and Gold,Western,"May 26, 2023"
Where the Tracks End,Family film,"May 26, 2023"
A Beautiful Life,Drama,"June 1, 2023"
