title,available_globally,release_date,hours_viewed,Clean_Title,Season_Num,Contains_Numbers,Clean_Title_Char_Len
The Night Agent: Season 1,Yes,2023-03-23,812100000,the night agent,1.0,True,15
Ginny & Georgia: Season 2,Yes,2023-01-05,665100000,ginny  georgia,2.0,True,14
The Glory: Season 1 // 더 글로리: 시즌 1,Yes,2022-12-30,622800000,the glory,1.0,True,9
Wednesday: Season 1,Yes,2022-11-23,507700000,wednesday,1.0,True,9
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503000000,queen charlotte a bridgerton story,,False,34
You: Season 4,Yes,2023-02-09,440600000,you,4.0,True,3
La Reina del Sur: Season 3,No,2022-12-30,429600000,la reina del sur,3.0,True,16
Outer Banks: Season 3,Yes,2023-02-23,402500000,outer banks,3.0,True,11
Ginny & Georgia: Season 1,Yes,2021-02-24,302100000,ginny  georgia,1.0,True,14
FUBAR: Season 1,Yes,2023-05-25,266200000,fubar,1.0,True,5
Manifest: Season 4,Yes,2022-11-04,262600000,manifest,4.0,True,8
Kaleidoscope: Limited Series,Yes,2023-01-01,252500000,kaleidoscope limited series,,False,27
Firefly Lane: Season 2,Yes,2022-12-02,251500000,firefly lane,2.0,True,12
The Mother,Yes,2023-05-12,249900000,the mother,,False,10
Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,235000000,physical 100,1.0,True,12
Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,234800000,crash course in romance limited series,,False,38
Love Is Blind: Season 4,Yes,2023-03-24,229700000,love is blind,4.0,True,13
BEEF: Season 1,Yes,2023-04-06,221100000,beef,1.0,True,4
The Diplomat: Season 1,Yes,2023-04-20,214100000,the diplomat,1.0,True,12
Luther: The Fallen Sun,Yes,2023-03-10,209700000,luther the fallen sun,,False,21
Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,206500000,fake profile,1.0,True,12
Vikings: Valhalla: Season 2,Yes,2023-01-12,205500000,vikings valhalla,2.0,True,16
Extraction 2,Yes,2023-06-16,201800000,extraction 2,,True,12
"XO, Kitty: Season 1",Yes,2023-05-18,200700000,xo kitty,1.0,True,8
Doctor Cha: Limited Series // 닥터 차정숙: 리미티드 시리즈,Yes,2023-04-15,194700000,doctor cha limited series,,False,25
Shadow and Bone: Season 2,Yes,2023-03-16,192900000,shadow and bone,2.0,True,15
Outer Banks: Season 1,Yes,2020-04-15,184000000,outer banks,1.0,True,11
Sweet Tooth: Season 2,Yes,2023-04-27,182300000,sweet tooth,2.0,True,11
You People,Yes,2023-01-27,181800000,you people,,False,10
Perfect Match: Season 1,Yes,2023-02-14,176800000,perfect match,1.0,True,13
Sex/Life: Season 2,Yes,2023-03-02,175500000,sexlife,2.0,True,7
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,174300000,the marked heart,2.0,True,16
Murder Mystery 2,Yes,2023-03-31,173600000,murder mystery 2,,True,16
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,172400000,the surrogacy,1.0,True,13
"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000,pablo escobar el patrn del mal,1.0,True,30
Never Have I Ever: Season 4,Yes,2023-06-08,168300000,never have i ever,4.0,True,17
Your Place or Mine,Yes,2023-02-10,163000000,your place or mine,,False,18
Chiquititas (2013),No,,162000000,chiquititas 2013,,True,16
Emily in Paris: Season 3,Yes,2022-12-21,161100000,emily in paris,3.0,True,14
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,157600000,alice in borderland,2.0,True,19
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,155300000,alchemy of souls part 1    1,,True,28
Outer Banks: Season 2,Yes,2021-07-30,153900000,outer banks,2.0,True,11
New Amsterdam (2018): Season 1,No,,153000000,new amsterdam 2018,1.0,True,18
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,152100000,til money do us part,1.0,True,20
Mr. Queen // 철인왕후,No,,151500000,mr queen,,False,8
Manifest: Season 1,No,2021-06-10,151400000,manifest,1.0,True,8
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,150200000,alchemy of souls part 2    2,,True,28
PAW Patrol: Season 6,No,,149300000,paw patrol,6.0,True,10
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,148600000,the good bad mother limited series,,False,34
The Recruit: Season 1,Yes,2022-12-16,146900000,the recruit,1.0,True,11
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,146700000,bloodhounds,1.0,True,11
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,142900000,glass onion a knives out mystery,,False,32
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,2023-03-01,140100000,wrong side of the tracks,2.0,True,24
Black Mirror: Season 6,Yes,2023-06-15,139900000,black mirror,6.0,True,12
Triptych: Season 1 // Tríada: Temporada 1,Yes,2023-02-22,139300000,triptych,1.0,True,8
The Walking Dead: Season 11,No,,136800000,the walking dead,11.0,True,16
Bridgerton: Season 1,Yes,2020-12-25,136600000,bridgerton,1.0,True,10
CoComelon: Season 1,No,2020-05-31,136200000,cocomelon,1.0,True,9
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,2022-06-29,135900000,extraordinary attorney woo,1.0,True,26
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,134800000,the snow girl,1.0,True,13
Stranger Things 4,Yes,2022-05-27,133600000,stranger things 4,,True,17
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,133500000,the marked heart,1.0,True,16
Bridgerton: Season 2,Yes,2022-03-25,133400000,bridgerton,2.0,True,10
Little Angel: Volume 1,Yes,,132100000,little angel volume 1,,True,21
PAW Patrol: Season 5,No,,130700000,paw patrol,5.0,True,10
Pasión de Gavilanes: Season 1,No,,129200000,pasin de gavilanes,1.0,True,18
Suits (2011): Season 1,Yes,,129100000,suits 2011,1.0,True,10
Sex/Life: Season 1,Yes,2021-06-25,126400000,sexlife,1.0,True,7
We Have a Ghost,Yes,2023-02-24,124400000,we have a ghost,,False,15
You: Season 1,Yes,2018-12-26,123500000,you,1.0,True,3
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,120700000,business proposal,1.0,True,17
