Clean_Title,Title_Counts,Clean_Title_Char_Len
naruto shippuden,21,16
greys anatomy,19,13
heartland 2007,16,14
gogglebox,16,9
ncis,15,4
murdoch mysteries,15,17
supernatural 2005,15,17
its always sunny in philadelphia,15,32
archer 2009,13,11
two and a half men,12,18
the big bang theory,12,19
trailer park boys,12,17
upinipin,11,8
shameless us,11,12
the walking dead,11,16
hubert und staller,10,18
ranczo,10,6
friends 1994,10,12
solitary gourmet,10,16
the blacklist,10,13
fairy tail,10,10
naruto,9,6
benidorm 2007,9,13
conni,9,5
still game,9,10
seinfeld,9,8
the office us,9,13
suits 2011,9,10
the flash 2014,9,14
mom 2013,8,8
wentworth,8,9
paw patrol,8,10
spirit riding free,8,18
homeland,8,8
brooklyn ninenine,8,17
the vampire diaries,8,19
gin tama,8,8
cocomelon,8,9
voltron legendary defender,8,26
trolls the beat goes on,8,23
chhota bheem,8,12
one piece whole cake island,8,27
arrow,8,5
girlfriends 2000,8,16
slam dunk,8,9
full house 1987,8,15
new girl,7,8
good witch,7,10
the mentalist,7,13
workin moms,7,11
orange is the new black,7,23
the 100,7,7
yugioh,7,6
outlander,7,9
mighty express,7,14
the boarding school,7,19
queer eye,7,9
star trek voyager,7,17
gabbys dollhouse,7,16
ray donovan,7,11
fsica o qumica,7,14
grace and frankie,7,17
gilmore girls,7,13
pretty little liars 2010,7,24
dcs legends of tomorrow,7,23
star trek the next generation,7,29
star trek deep space nine,7,25
heartbreak high 1994,7,20
riverdale,7,9
the circle,6,10
somebody feed phil,6,18
superstore,6,10
elite,6,5
curious george,6,14
numberblocks,6,12
taskmaster,6,10
big mouth,6,9
un paso adelante,6,16
hunter x hunter 2011,6,20
gossip girl 2007,6,16
the fresh prince of belair,6,26
power 2014,6,10
vikings 2013,6,12
the mindy project,6,17
the adventures of puss in boots,6,31
moesha,6,6
the powerpuff girls 1998,6,24
schitts creek,6,13
peaky blinders,6,14
teen wolf 2011,6,14
supergirl,6,9
lego ninjago,6,12
this is us,6,10
west coast customs,6,18
my little pony friendship is magic,6,34
my hero academia,6,16
inside the worlds toughest prisons,6,34
johnny test 2005,6,16
chesapeake shores,6,17
fist of the north star,6,22
polly pocket,6,12
longmire,6,8
der tatortreiniger,6,18
fireman sam,6,11
when calls the heart,6,20
24 hours in ae,6,14
how to get away with murder,6,27
better call saul,6,16
the originals,6,13
lucifer,6,7
nailed it,6,9
fast  furious spy racers,6,24
keeping up with the kardashians,6,31
al kabeer,6,9
dragons race to the edge,6,24
desmonds,6,8
black mirror,6,12
thomas and friends,6,18
madam secretary,6,15
rupauls drag race,6,17
sister sister,6,13
bunkd,6,5
inuyasha,6,8
bojack horseman,6,15
rick and morty,6,14
house of cards,6,14
animal kingdom,6,14
once upon a time,6,16
go go cory carson,6,17
peppa pig,6,9
selling sunset,6,14
community,6,9
gotham,5,6
hells kitchen 2005,5,18
icarly 2007,5,11
the ultimate braai master,5,25
queen of the south,5,18
the great british baking show holidays,5,38
friday night lights,5,19
the last kingdom,5,16
shera and the princesses of power,5,33
rake 2010,5,9
breaking bad,5,12
jane the virgin,5,15
the good doctor,5,15
greenleaf,5,9
gomorrah,5,8
detective conan,5,15
dinotrux,5,8
billions,5,8
top gear 2003,5,13
the magicians 2015,5,18
el marginal,5,11
horrid henry,5,12
f is for family,5,15
rita,5,4
teen titans go,5,14
ridley jones,5,12
z nation,5,8
word party,5,10
jack whitehall travels with my father,5,37
cobra kai,5,9
black lightning,5,15
dora the explorer,5,17
the crown,5,9
lego friends,5,12
kims convenience,5,16
van helsing,5,11
seora acero,5,11
fuller house,5,12
ride on time,5,12
arrested development,5,20
the batman,5,10
izombie,5,7
henry danger,5,12
travel man 48 hours in,5,22
poldark 2015,5,12
young sheldon,5,13
cuckoo,5,6
skam italia,5,11
trauma 2010,5,11
all american,5,12
miraculous tales of ladybug  cat noir,5,37
aggretsuko,5,10
all hail king julien,5,20
one on one,5,10
people just do nothing,5,22
line of duty,5,12
the parkers,5,11
casados con hijos 2005,5,22
jurassic world camp cretaceous,5,30
masha and the bear,5,18
formula 1 drive to survive,5,26
un gars une fille 1999,5,22
nina,5,4
dynasty,5,7
blindspot,5,9
you me her,5,10
the great canadian baking show,5,30
swat 2017,5,9
meateater,5,9
rookie blue,5,11
booba,5,5
robocar poli,4,12
wynonna earp,4,12
chip and potato,4,15
pokmon journeys the series,4,26
karmas world,4,12
the real housewives of beverly hills,4,36
castlevania,4,11
good girls,4,10
pj masks,4,8
ozark,4,5
the mr peabody and sherman show,4,31
3,4,1
eyeshield 21,4,12
star trek enterprise,4,20
degrassi next class,4,19
the chef show,4,13
midnight diner,4,14
home adventures with tip  oh,4,28
hello ninja,4,11
club de cuervos,4,15
big time rush,4,13
roswell new mexico,4,18
the boss baby back in business,4,30
teenage mutant ninja turtles 2012,4,33
ushijima the loan shark,4,23
charmed 2018,4,12
hug me,4,6
the sinner,4,10
killing eve,4,11
is it wrong to try to pick up girls in a dungeon,4,48
the royals 2015,4,15
13 reasons why,4,14
mtv shuga naija,4,15
married at first sight,4,22
h 1998,4,6
the bold type,4,13
my next guest needs no introduction with david letterman,4,56
inspector gadget,4,16
half  half,4,10
the dragon prince,4,17
the oc,4,6
everybody loves raymond,4,23
the secret life of us,4,21
unbreakable kimmy schmidt,4,25
ben 10,4,6
mako mermaids an h2o adventure,4,30
the good place,4,14
pocoyo,4,6
shadowhunters the mortal instruments,4,36
call my agent,4,13
weissensee,4,10
nicky ricky dicky  dawn,4,23
legacies,4,8
carmen sandiego,4,15
titans,4,6
catastrophe,4,11
alvinnn and the chipmunks,4,25
the protector,4,13
harvey girls forever,4,20
octonauts,4,9
chico bon bon monkey with a tool belt,4,37
crazy exgirlfriend,4,18
yu yu hakusho ghost files,4,25
eastsiders,4,10
the bridge,4,10
i am a killer,4,13
starbeam,4,8
ada twist scientist,4,19
the worst witch,4,15
alone,4,5
kath and kim,4,12
bonus family,4,12
attack on titan,4,15
love island australia,4,21
locked up,4,9
lego city adventures,4,20
lego friends girls on a mission,4,31
spongebob squarepants,4,21
simon 2016,4,10
in the dark 2019,4,16
the thundermans,4,15
boruto naruto next generations,4,30
velvet,4,6
dream home makeover,4,19
too hot to handle,4,17
on my block,4,11
molang,4,6
manifest,4,8
the night shift,4,15
resurrection ertugrul,4,21
new amsterdam 2018,4,18
code lyoko,4,10
last tango in halifax,4,21
black sails,4,11
king of golf,4,12
glow up,4,7
the undertaker,4,14
dawn of the croods,4,18
please like me,4,14
atypical,4,8
car masters rust to riches,4,26
aiseki shokudo,4,14
love is blind,4,13
love island usa,4,15
little things,4,13
cable girls,4,11
casual,4,6
fauda,4,5
documentary now,4,15
the coroner 2019,4,16
you,4,3
hiphop evolution,4,16
due south,4,9
never have i ever,4,17
dreamland 2014,4,14
hormones,4,8
7 vidas,4,7
virgin river,4,12
pirunpelto,4,10
man down,4,8
mighty morphin power rangers,4,28
open,4,4
buurman  buurman,4,16
44 cats,4,7
the garfield show,4,17
life in pieces,4,14
greenhouse academy,4,18
the windsors,3,12
grizzy and the lemmings,3,23
mighty little bheem,3,19
frontier,3,8
i think you should leave with tim robinson,3,42
bloodline,3,9
motherland,3,10
beyblade,3,8
intersection,3,12
the kominsky method,3,19
oishinbo,3,8
bread barbershop,3,16
el chapo,3,8
the witcher,3,11
popples,3,7
the crime,3,9
love ft marriage and divorce,3,28
scream,3,6
hey duggee,3,10
busted,3,6
haunted,3,7
the penthouse war in life,3,25
easy,3,4
shtisel,3,7
emily in paris,3,14
lilyhammer,3,10
sintonia,3,8
sky rojo,3,8
hap and leonard,3,15
narcos,3,6
zatch bell,3,10
checkout,3,8
the legacy,3,10
summertime,3,10
geordie shore,3,13
victorious,3,10
the next step,3,13
teasing master takagisan,3,24
santa clarita diet,3,18
sex education,3,13
locke  key,3,10
best interest,3,13
heidi 2015,3,10
192 2011,3,8
rainbow high,3,12
larva,3,5
explained,3,9
scissor seven,3,13
family business,3,15
exorcist,3,8
glow,3,4
blood  water,3,12
love after lockup,3,17
designated survivor,3,19
berserk,3,7
the rain,3,8
undercover,3,10
mr osomatsu,3,11
rupauls drag race all stars,3,27
welcome to demon school  irumakun,3,33
switch,3,6
the fairly oddparents,3,21
shadow,3,6
from me to you kimi ni todoke,3,29
winx club,3,9
occupied,3,8
kid cosmic,3,10
butt detective,3,14
the parisian agency exclusive properties,3,40
kingdom,3,7
bordertown,3,10
mr bean the animated series,3,27
moving art,3,10
dark,3,4
dope,3,4
star trek,3,9
the game 2006,3,13
norsemen,3,8
costa,3,5
couples come dine with me,3,25
ash vs evil dead,3,16
angry birds summer madness,3,26
janet king,3,10
danger mouse classic collection,3,31
millennials 2018,3,16
bill nye saves the world,3,24
who killed sara,3,15
one piece zou,3,13
turbo fast,3,10
dinotrux supercharged,3,21
merl,3,4
the least expected day inside the movistar team 2019,3,52
floor is lava,3,13
the killing,3,11
bling empire,3,12
how to sell drugs online fast,3,29
blown away,3,10
the movies that made us,3,23
luis miguel  the series,3,23
charit,3,6
skylanders academy,3,18
wakfu,3,5
sin senos s hay paraso,3,22
assassination classroom,3,23
colony,3,6
the missing,3,11
life after lockup,3,17
high seas,3,9
baby,3,4
travelers,3,9
snowpiercer,3,11
go dog go,3,9
wanted,3,6
deadwind,3,8
final space,3,11
outback truckers,3,16
into the badlands,3,17
lost in space,3,13
legion,3,6
falling in love like a romantic drama,3,37
mord mit aussicht,3,17
borgen,3,6
the house of flowers,3,20
kurokos basketball,3,18
glitch,3,6
free rein,3,9
derek,3,5
kipo and the age of wonderbeasts,3,32
the boat,3,8
the gift,3,8
super monsters,3,14
public enemy,3,12
mr mercedes,3,11
man like mobeen,3,15
key  peele,3,10
suburra blood on rome,3,21
marcella,3,8
hozukis coolheadedness,3,22
la reina del sur,3,16
love after divorce,3,18
fairies albums,3,14
beat bugs,3,9
bad exorcist,3,12
golden kamuy,3,12
meet the adebanjos,3,18
the standups,3,12
the borgias 2011,3,16
maggie  bianca fashion friends,3,30
versailles,3,10
one day at a time,3,17
god troubles me,3,15
gormiti,3,7
kazoops,3,7
the platform,3,12
paquita salas,3,13
nailed it mexico,3,16
the rookie,3,10
the restaurant,3,14
mob psycho 100,3,14
dr stone,3,8
sin tetas no hay paraso 2008,3,28
the deep 2015,3,13
valeria,3,7
the cuphead show,3,16
the worlds most extraordinary homes,3,35
ask the storybots,3,17
the fisherman and the city,3,26
daughter from another mother,3,28
love,3,4
teenage parents,3,15
the fall,3,8
the toys that made us,3,21
kakegurui,3,9
zoo 2015,3,8
the adventures of tintin,3,24
new school,3,10
hush,3,4
master of none,3,14
magic for humans,3,16
catching killers,3,16
outer banks,3,11
two sentence horror stories,3,27
tangle,3,6
berlin station,3,14
sarah  duck,3,11
tagged,3,6
tales by light,3,14
my magic pet morphle,3,20
wild kratts,3,11
hannibal,3,8
cinderella chef,3,15
attack on titan the final,3,25
rust valley restorers,3,21
johan falk,3,10
mentai piriri,3,13
babylon berlin,3,14
the hook up plan,3,16
star,3,4
sailor moon crystal,3,19
upper middle bogan,3,18
jack irish the series,3,21
